Threads,Elapsed time,User time,System time
1,01:29:27.000,20.89,9.43
2,00:50:50.410,8.66,4.27
2,00:43:46.540,11.24,5.32
4,00:31:35.220,4.65,2.12
4,00:28:57.160,5.23,1.96
4,00:29:55.930,4.77,2.03
4,00:18:29.720,6.91,3.04
