Threads,Elapsed time,User time,System time
1,00:15:36.770,19.17,8.70
2,00:14:31.070,10.29,5.38
2,00:15:30.960,8.07,3.91
4,00:22:18.700,4.59,1.93
4,00:20:37.340,4.57,2.33
4,00:21:40.200,4.25,2.08
4,00:17:05.680,6.55,3.46
